
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013848                       # Number of seconds simulated (Second)
simTicks                                  13848239000                       # Number of ticks simulated (Tick)
finalTick                                 13848239000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     78.42                       # Real time elapsed on the host (Second)
hostTickRate                                176594380                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     760836                       # Number of bytes of host memory used (Byte)
simInsts                                      1739523                       # Number of instructions simulated (Count)
simOps                                        3222885                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    22183                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      41099                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         13848240                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.960941                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.125613                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3456047                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      999                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3574166                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    820                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               234155                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            401441                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 144                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9115764                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.392086                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.030342                       # Number of insts issued each cycle (Count)
system.cpu.commitStats0.committedInstType::SimdFloatAlu            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatCmp            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatCvt            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatDiv            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMisc            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMult            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMultAcc            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMatMultAcc            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatSqrt            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceAdd            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceAlu            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceCmp            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatReduceAdd            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatReduceCmp            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAes            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAesMix            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha1Hash            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha1Hash2            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha256Hash            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha256Hash2            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShaSigma2            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShaSigma3            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdPredAlu            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::Matrix            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MatrixMov            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MatrixOP            0      0.00%     80.26% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MemRead       447964     13.90%     94.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MemWrite       164012      5.09%     99.25% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMemRead        12675      0.39%     99.64% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMemWrite        11603      0.36%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IprAccess            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::InstPrefetch            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideMaskLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideMaskStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStridedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStridedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdIndexedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdIndexedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdWholeRegisterLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdWholeRegisterStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdExt            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatExt            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdConfig            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::total      3222885                       # Class of committed instruction. (Count)
system.cpu.commitStats0.committedControl::IsControl       315200                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsDirectControl       300061                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsIndirectControl        15043                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsCondControl       279403                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsUncondControl        35701                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsCall         9859                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsReturn         9854                       # Class of control type instructions committed (Count)
system.cpu.decode.idleCycles                  8320202                       # Number of cycles decode is idle (Cycle)
system.cpu.decode.blockedCycles                253494                       # Number of cycles decode is blocked (Cycle)
system.cpu.decode.runCycles                    522018                       # Number of cycles decode is running (Cycle)
system.cpu.decode.unblockCycles                  6731                       # Number of cycles decode is unblocking (Cycle)
system.cpu.decode.squashCycles                  13319                       # Number of cycles decode is squashing (Cycle)
system.cpu.decode.branchResolved               130381                       # Number of times decode resolved a branch (Count)
system.cpu.decode.branchMispred                  1168                       # Number of times decode detected a branch misprediction (Count)
system.cpu.decode.decodedInsts                3469991                       # Number of instructions handled by decode (Count)
system.cpu.decode.squashedInsts                  5659                       # Number of squashed instructions handled by decode (Count)
system.cpu.executeStats0.numInsts             3570389                       # Number of executed instructions (Count)
system.cpu.executeStats0.numNop                     0                       # Number of nop insts executed (Count)
system.cpu.executeStats0.numBranches           323690                       # Number of branches executed (Count)
system.cpu.executeStats0.numLoadInsts          670028                       # Number of load instructions executed (Count)
system.cpu.executeStats0.numStoreInsts         189641                       # Number of stores executed (Count)
system.cpu.executeStats0.instRate            0.257823                       # Inst execution rate ((Count/Cycle))
system.cpu.executeStats0.numCCRegReads        1696619                       # Number of times the CC registers were read (Count)
system.cpu.executeStats0.numCCRegWrites       1390988                       # Number of times the CC registers were written (Count)
system.cpu.executeStats0.numFpRegReads          96783                       # Number of times the floating registers were read (Count)
system.cpu.executeStats0.numFpRegWrites         51607                       # Number of times the floating registers were written (Count)
system.cpu.executeStats0.numIntRegReads       4441810                       # Number of times the integer registers were read (Count)
system.cpu.executeStats0.numIntRegWrites      2582796                       # Number of times the integer registers were written (Count)
system.cpu.executeStats0.numMemRefs            859669                       # Number of memory refs (Count)
system.cpu.executeStats0.numMiscRegReads      1504938                       # Number of times the Misc registers were read (Count)
system.cpu.executeStats0.numMiscRegWrites          630                       # Number of times the Misc registers were written (Count)
system.cpu.executeStats0.numVecAluAccesses            0                       # Number of vector alu accesses (Count)
system.cpu.executeStats0.numDiscardedOps            0                       # Number of ops (including micro ops) which were discarded before commit (Count)
system.cpu.fetch.predictedBranches             146533                       # Number of branches that fetch has predicted taken (Count)
system.cpu.fetch.cycles                        730427                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu.fetch.squashCycles                   28842                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu.fetch.miscStallCycles                 1334                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu.fetch.pendingTrapStallCycles          7881                       # Number of stall cycles due to pending traps (Cycle)
system.cpu.fetch.icacheWaitRetryStallCycles            3                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu.fetch.cacheLines                    248483                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes                 11838                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples            9115764                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::mean              0.383456                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::stdev             1.621350                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::0                  8582082     94.15%     94.15% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::1                    24455      0.27%     94.41% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::2                    25139      0.28%     94.69% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::3                    26656      0.29%     94.98% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::4                    15118      0.17%     95.15% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::5                    34032      0.37%     95.52% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::6                    28693      0.31%     95.84% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::7                    98706      1.08%     96.92% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::8                   280883      3.08%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total              9115764                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetchStats0.numInsts               1884637                       # Number of instructions fetched (thread level) (Count)
system.cpu.fetchStats0.numOps                       0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu.fetchStats0.fetchRate             0.136092                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.fetchStats0.numBranches             343088                       # Number of branches fetched (Count)
system.cpu.fetchStats0.branchRate            0.024775                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetchStats0.icacheStallCycles      8361698                       # ICache total stall cycles (Cycle)
system.cpu.fetchStats0.numFetchSuspends             0                       # Number of times Execute suspended instruction fetching (Count)
system.cpu.iew.idleCycles                           0                       # Number of cycles IEW is idle (Cycle)
system.cpu.iew.squashCycles                     13319                       # Number of cycles IEW is squashing (Cycle)
system.cpu.iew.blockCycles                      31396                       # Number of cycles IEW is blocking (Cycle)
system.cpu.iew.unblockCycles                    60412                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.iew.dispatchedInsts                3457046                       # Number of instructions dispatched to IQ (Count)
system.cpu.iew.dispSquashedInsts                   79                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.iew.dispLoadInsts                   493744                       # Number of dispatched load instructions (Count)
system.cpu.iew.dispStoreInsts                  195520                       # Number of dispatched store instructions (Count)
system.cpu.iew.dispNonSpecInsts                   754                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iew.iqFullEvents                       214                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.iew.lsqFullEvents                    59829                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.iew.memOrderViolationEvents             77                       # Number of memory order violations (Count)
system.cpu.iew.predictedTakenIncorrect           4545                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.iew.predictedNotTakenIncorrect         8766                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.iew.branchMispredicts                13311                       # Number of branch mispredicts detected at execute (Count)
system.cpu.iew.instsToCommit                  3367604                       # Cumulative count of insts sent to commit (Count)
system.cpu.iew.writebackCount                 3365401                       # Cumulative count of insts written-back (Count)
system.cpu.iew.producerInst                   2449372                       # Number of instructions producing a value (Count)
system.cpu.iew.consumerInst                   3915582                       # Number of instructions consuming a value (Count)
system.cpu.iew.wbRate                        0.243020                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.iew.wbFanout                      0.625545                       # Average fanout of values written-back ((Count/Count))
system.cpu.interrupts.clk_domain.clock          16000                       # Clock period in ticks (Tick)
system.cpu.lsq0.forwLoads                       17681                       # Number of loads that had data forwarded from stores (Count)
system.cpu.lsq0.squashedLoads                   33105                       # Number of loads squashed (Count)
system.cpu.lsq0.ignoredResponses                    9                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu.lsq0.memOrderViolation                  77                       # Number of memory ordering violations (Count)
system.cpu.lsq0.squashedStores                  19905                       # Number of stores squashed (Count)
system.cpu.lsq0.rescheduledLoads                   14                       # Number of loads that were rescheduled (Count)
system.cpu.lsq0.blockedByCache                 123663                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu.lsq0.loadToUse::samples             460639                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::mean             63.785887                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::stdev            34.773329                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::0-9                  16943      3.68%      3.68% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::20-29                32193      6.99%     10.67% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::30-39                    2      0.00%     10.67% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::50-59               193180     41.94%     52.60% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::60-69                85525     18.57%     71.17% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::70-79                49823     10.82%     81.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::80-89                37460      8.13%     90.12% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::90-99                16559      3.59%     93.71% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::100-109               6102      1.32%     95.04% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::110-119               2606      0.57%     95.60% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::120-129               4248      0.92%     96.53% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::130-139               5467      1.19%     97.71% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::140-149               4456      0.97%     98.68% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::150-159                836      0.18%     98.86% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::160-169               1180      0.26%     99.12% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::170-179                185      0.04%     99.16% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::180-189                144      0.03%     99.19% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::190-199                116      0.03%     99.22% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::200-209                 36      0.01%     99.22% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::210-219                 15      0.00%     99.23% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::220-229                  9      0.00%     99.23% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::230-239                  9      0.00%     99.23% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::240-249                 10      0.00%     99.23% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::250-259                  9      0.00%     99.23% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::260-269                 12      0.00%     99.24% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::270-279                 17      0.00%     99.24% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::280-289                 82      0.02%     99.26% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::290-299                230      0.05%     99.31% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::overflows             3185      0.69%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::min_value                2                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::max_value              515                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::total               460639                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.mmu.dtb.rdAccesses                  488944                       # TLB accesses on read requests (Count)
system.cpu.mmu.dtb.wrAccesses                  189653                       # TLB accesses on write requests (Count)
system.cpu.mmu.dtb.rdMisses                      1927                       # TLB misses on read requests (Count)
system.cpu.mmu.dtb.wrMisses                       192                       # TLB misses on write requests (Count)
system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED  13848239000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.mmu.itb.rdAccesses                       0                       # TLB accesses on read requests (Count)
system.cpu.mmu.itb.wrAccesses                  249679                       # TLB accesses on write requests (Count)
system.cpu.mmu.itb.rdMisses                         0                       # TLB misses on read requests (Count)
system.cpu.mmu.itb.wrMisses                      1514                       # TLB misses on write requests (Count)
system.cpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED  13848239000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.power_state.pwrStateResidencyTicks::ON  13848239000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.rename.squashCycles                  13319                       # Number of cycles rename is squashing (Cycle)
system.cpu.rename.idleCycles                  8323632                       # Number of cycles rename is idle (Cycle)
system.cpu.rename.blockCycles                  131683                       # Number of cycles rename is blocking (Cycle)
system.cpu.rename.serializeStallCycles          41540                       # count of cycles rename stalled for serializing inst (Cycle)
system.cpu.rename.runCycles                    523368                       # Number of cycles rename is running (Cycle)
system.cpu.rename.unblockCycles                 82222                       # Number of cycles rename is unblocking (Cycle)
system.cpu.rename.renamedInsts                3465050                       # Number of instructions processed by rename (Count)
system.cpu.rename.ROBFullEvents                  2394                       # Number of times rename has blocked due to ROB full (Count)
system.cpu.rename.IQFullEvents                   9835                       # Number of times rename has blocked due to IQ full (Count)
system.cpu.rename.LQFullEvents                   7708                       # Number of times rename has blocked due to LQ full (Count)
system.cpu.rename.SQFullEvents                  59345                       # Number of times rename has blocked due to SQ full (Count)
system.cpu.rename.renamedOperands             6619207                       # Number of destination operands rename has renamed (Count)
system.cpu.rename.lookups                    12204758                       # Number of register rename lookups that rename has made (Count)
system.cpu.rename.intLookups                  4395618                       # Number of integer rename lookups (Count)
system.cpu.rename.fpLookups                    106239                       # Number of floating rename lookups (Count)
system.cpu.rename.committedMaps               6205503                       # Number of HB maps that are committed (Count)
system.cpu.rename.undoneMaps                   413695                       # Number of HB maps that are undone due to squashing (Count)
system.cpu.rename.serializing                     696                       # count of serializing insts renamed (Count)
system.cpu.rename.tempSerializing                 682                       # count of temporary serializing insts renamed (Count)
system.cpu.rename.skidInsts                     47453                       # count of insts added to the skid buffer (Count)
system.cpu.rob.reads                         12389299                       # The number of ROB reads (Count)
system.cpu.rob.writes                         6948876                       # The number of ROB writes (Count)
system.cpu.thread_0.numInsts                  1739523                       # Number of Instructions committed (Count)
system.cpu.thread_0.numOps                    3222885                       # Number of Ops committed (Count)
system.cpu.thread_0.numMemRefs                      0                       # Number of Memory References (Count)
system.cpu.workload.numSyscalls                    65                       # Number of system calls (Count)
system.mem_ctrl.avgPriority_cpu.inst::samples    248483.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrl.avgPriority_cpu.data::samples    441592.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrl.priorityMinLatency       0.000000018750                       # per QoS priority minimum request to response latency (Second)
system.mem_ctrl.priorityMaxLatency       0.001610974250                       # per QoS priority maximum request to response latency (Second)
system.mem_ctrl.numReadWriteTurnArounds           413                       # Number of turnarounds from READ to WRITE (Count)
system.mem_ctrl.numWriteReadTurnArounds           413                       # Number of turnarounds from WRITE to READ (Count)
system.mem_ctrl.numStayReadState              1454096                       # Number of times bus staying in READ state (Count)
system.mem_ctrl.numStayWriteState                6241                       # Number of times bus staying in WRITE state (Count)
system.mem_ctrl.readReqs                       717756                       # Number of read requests accepted (Count)
system.mem_ctrl.writeReqs                      175625                       # Number of write requests accepted (Count)
system.mem_ctrl.readBursts                     717756                       # Number of controller read bursts, including those serviced by the write queue (Count)
system.mem_ctrl.writeBursts                    175625                       # Number of controller write bursts, including those merged in the write queue (Count)
system.mem_ctrl.servicedByWrQ                   34351                       # Number of controller read bursts serviced by the write queue (Count)
system.mem_ctrl.mergedWrBursts                 168955                       # Number of controller write bursts merged with an existing one (Count)
system.mem_ctrl.neitherReadNorWriteReqs             0                       # Number of requests that are neither read nor write (Count)
system.mem_ctrl.avgRdQLen                        2.90                       # Average read queue length when enqueuing ((Count/Tick))
system.mem_ctrl.avgWrQLen                       27.52                       # Average write queue length when enqueuing ((Count/Tick))
system.mem_ctrl.numRdRetry                          0                       # Number of times read queue was full causing retry (Count)
system.mem_ctrl.numWrRetry                          0                       # Number of times write queue was full causing retry (Count)
system.mem_ctrl.readPktSize::0                 129738                       # Read request sizes (log2) (Count)
system.mem_ctrl.readPktSize::1                  13002                       # Read request sizes (log2) (Count)
system.mem_ctrl.readPktSize::2                  71444                       # Read request sizes (log2) (Count)
system.mem_ctrl.readPktSize::3                 255089                       # Read request sizes (log2) (Count)
system.mem_ctrl.readPktSize::4                      0                       # Read request sizes (log2) (Count)
system.mem_ctrl.readPktSize::5                      0                       # Read request sizes (log2) (Count)
system.mem_ctrl.readPktSize::6                 248483                       # Read request sizes (log2) (Count)
system.mem_ctrl.writePktSize::0                   726                       # Write request sizes (log2) (Count)
system.mem_ctrl.writePktSize::1                   994                       # Write request sizes (log2) (Count)
system.mem_ctrl.writePktSize::2                 17176                       # Write request sizes (log2) (Count)
system.mem_ctrl.writePktSize::3                156729                       # Write request sizes (log2) (Count)
system.mem_ctrl.writePktSize::4                     0                       # Write request sizes (log2) (Count)
system.mem_ctrl.writePktSize::5                     0                       # Write request sizes (log2) (Count)
system.mem_ctrl.writePktSize::6                     0                       # Write request sizes (log2) (Count)
system.mem_ctrl.rdQLenPdf::0                   202235                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::1                   213977                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::2                   107051                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::3                    66499                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::4                    38146                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::5                    23416                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::6                    13806                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::7                     6350                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::8                     3967                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::9                     2387                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::10                     431                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::11                     215                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::12                     197                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::13                     957                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::14                    1095                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::15                     465                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::16                     395                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::17                     385                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::18                     475                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::19                     595                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::20                     143                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::21                      95                       # What read queue length does an incoming req see (Count)
